1943-03-21 12:02:17.464000,1943-06-22 07:12:00.009000,1943-09-23 22:11:24.752000,1943-12-22 17:28:47.517000
1944-03-20 17:48:17.210000,1944-06-21 13:01:58.937000,1944-09-23 04:01:19.459000,1944-12-21 23:14:30.079000
1945-03-20 23:36:54.033000,1945-06-21 18:51:45.516000,1945-09-23 09:49:28.717000,1945-12-22 05:03:16.379000
1946-03-21 05:32:22.967000,1946-06-22 00:44:02.104000,1946-09-23 15:40:20.456000,1946-12-22 10:53:02.729000
1947-03-21 11:12:23.360000,1947-06-22 06:18:31.878000,1947-09-23 21:28:20.350000,1947-12-22 16:42:29.532000
1948-03-20 16:56:30.050000,1948-06-21 12:10:18.415000,1948-09-23 03:21:25.374000,1948-12-21 22:32:59.896000
1949-03-20 22:47:45.901000,1949-06-21 18:02:29.402000,1949-09-23 09:05:34.237000,1949-12-22 04:22:37.420000
1950-03-21 04:34:53.347000,1950-06-21 23:35:46.696000,1950-09-23 14:43:18.537000,1950-12-22 10:13:04.896000
1951-03-21 10:25:27.756000,1951-06-22 05:24:34.418000,1951-09-23 20:36:36.107000,1951-12-22 15:59:49.018000
1952-03-20 16:13:30.482000,1952-06-21 11:12:18.001000,1952-09-23 02:23:25.796000,1952-12-21 21:42:54.422000
1953-03-20 22:00:15.506000,1953-06-21 16:59:42.041000,1953-09-23 08:05:39.279000,1953-12-22 03:31:13.015000
1954-03-21 03:53:10.549000,1954-06-21 22:53:48.287000,1954-09-23 13:55:02.000000,1954-12-22 09:24:07.084000
1955-03-21 09:34:51.902000,1955-06-22 04:31:08.649000,1955-09-23 19:40:39.539000,1955-12-22 15:10:40.800000
1956-03-20 15:20:04.144000,1956-06-21 10:23:31.169000,1956-09-23 01:34:49.943000,1956-12-21 20:59:15.930000
1957-03-20 21:16:15.894000,1957-06-21 16:20:18.533000,1957-09-23 07:25:51.947000,1957-12-22 02:48:24.964000
1958-03-21 03:05:36.216000,1958-06-21 21:56:41.942000,1958-09-23 13:08:38.607000,1958-12-22 08:39:30.451000
1959-03-21 08:54:19.713000,1959-06-22 03:49:34.522000,1959-09-23 19:08:15.049000,1959-12-22 14:34:08.499000
1960-03-20 14:42:28.565000,1960-06-21 09:42:06.460000,1960-09-23 00:58:40.681000,1960-12-21 20:25:45.108000
1961-03-20 20:31:56.108000,1961-06-21 15:29:55.946000,1961-09-23 06:42:16.254000,1961-12-22 02:19:18.140000
1962-03-21 02:29:22.529000,1962-06-21 21:23:57.053000,1962-09-23 12:35:03.058000,1962-12-22 08:15:06.546000
1963-03-21 08:19:31.874000,1963-06-22 03:03:52.438000,1963-09-23 18:23:21.061000,1963-12-22 14:01:44.300000
1964-03-20 14:09:43.112000,1964-06-21 08:56:40.007000,1964-09-23 00:16:31.040000,1964-12-21 19:49:23.983000
